card_id,customer_id
C00167-K1,C00167
C00168-K1,C00168
C00168-K2,C00168
C00169-K1,C00169
C00170-K1,C00170
C00171-K1,C00171
C00172-K1,C00172
C00173-K1,C00173
C00174-K1,C00174
C00175-K1,C00175
C00176-K1,C00176
C00177-K1,C00177
C00178-K1,C00178
C00179-K1,C00179
C00180-K1,C00180
C00181-K1,C00181
C00182-K1,C00182
C00183-K1,C00183
C00184-K1,C00184
C00185-K1,C00185
C00186-K1,C00186
C00187-K1,C00187
C00188-K1,C00188
C00189-K1,C00189
C00189-K2,C00189
C00190-K1,C00190
C00191-K1,C00191
C00192-K1,C00192
C00193-K1,C00193
C00194-K1,C00194
C00195-K1,C00195
C00196-K1,C00196
C00197-K1,C00197
C00198-K1,C00198
C00199-K1,C00199
C00200-K1,C00200
C00201-K1,C00201
C00202-K1,C00202
C00203-K1,C00203
C00204-K1,C00204
C00205-K1,C00205
C00206-K1,C00206
C00207-K1,C00207
C00208-K1,C00208
C00209-K1,C00209
C00210-K1,C00210
C00211-K1,C00211
C00212-K1,C00212
C00213-K1,C00213
C00214-K1,C00214
C00214-K2,C00214
C00215-K1,C00215
C00216-K1,C00216
C00217-K1,C00217
C00218-K1,C00218
C00219-K1,C00219
C00220-K1,C00220
C00221-K1,C00221
C00222-K1,C00222
C00223-K1,C00223
C00224-K1,C00224
C00225-K1,C00225
C00226-K1,C00226
C00227-K1,C00227
C00228-K1,C00228
C00229-K1,C00229
C00230-K1,C00230
C00231-K1,C00231
C00232-K1,C00232
C00232-K2,C00232
C00233-K1,C00233
C00234-K1,C00234
C00235-K1,C00235
C00235-K2,C00235
C00236-K1,C00236
C00237-K1,C00237
C00238-K1,C00238
C00239-K1,C00239
C00240-K1,C00240
C00241-K1,C00241
C00242-K1,C00242
C00243-K1,C00243
C00244-K1,C00244
C00245-K1,C00245
C00246-K1,C00246
C00247-K1,C00247
C00248-K1,C00248
C00249-K1,C00249
C00250-K1,C00250
C00251-K1,C00251
C00252-K1,C00252
C00253-K1,C00253
C00254-K1,C00254
C00255-K1,C00255
C00256-K1,C00256
C00257-K1,C00257
C00258-K1,C00258
C00259-K1,C00259
C00260-K1,C00260
C00261-K1,C00261
C00262-K1,C00262
C00263-K1,C00263
C00264-K1,C00264
C00265-K1,C00265
C00266-K1,C00266
C00267-K1,C00267
C00268-K1,C00268
C00269-K1,C00269
C00270-K1,C00270
C00271-K1,C00271
C00272-K1,C00272
C00273-K1,C00273
C00274-K1,C00274
C00275-K1,C00275
C00276-K1,C00276
C00277-K1,C00277
C00278-K1,C00278
C00279-K1,C00279
C00280-K1,C00280
C00280-K2,C00280
C00281-K1,C00281
C00282-K1,C00282
C00283-K1,C00283
C00284-K1,C00284
C00285-K1,C00285
C00286-K1,C00286
C00287-K1,C00287
C00288-K1,C00288
C00289-K1,C00289
C00290-K1,C00290
C00291-K1,C00291
C00292-K1,C00292
C00293-K1,C00293
C00294-K1,C00294
C00294-K2,C00294
C00295-K1,C00295
C00296-K1,C00296
C00297-K1,C00297
C00298-K1,C00298
C00299-K1,C00299
C00300-K1,C00300
C00301-K1,C00301
C00301-K2,C00301
C00302-K1,C00302
C00303-K1,C00303
C00304-K1,C00304
C00305-K1,C00305
C00306-K1,C00306
C00307-K1,C00307
C00308-K1,C00308
C00309-K1,C00309
C00310-K1,C00310
C00311-K1,C00311
C00312-K1,C00312
C00313-K1,C00313
C00314-K1,C00314
C00315-K1,C00315
C00315-K2,C00315
C00316-K1,C00316
C00317-K1,C00317
C00318-K1,C00318
C00319-K1,C00319
C00320-K1,C00320
C00321-K1,C00321
C00322-K1,C00322
C00323-K1,C00323
C00324-K1,C00324
C00325-K1,C00325
C00326-K1,C00326
C00327-K1,C00327
C00328-K1,C00328
C00329-K1,C00329
C00329-K2,C00329
C00330-K1,C00330
C00331-K1,C00331
C00332-K1,C00332
C00332-K2,C00332
C00333-K1,C00333
C00334-K1,C00334
C00335-K1,C00335
C00336-K1,C00336
C00337-K1,C00337
C00338-K1,C00338
C00339-K1,C00339
C00340-K1,C00340
C00341-K1,C00341
C00342-K1,C00342
C00343-K1,C00343
C00344-K1,C00344
C00345-K1,C00345
C00346-K1,C00346
C00347-K1,C00347
C00348-K1,C00348
C00349-K1,C00349
C00350-K1,C00350
C00351-K1,C00351
C00352-K1,C00352
C00353-K1,C00353
C00354-K1,C00354
C00355-K1,C00355
C00356-K1,C00356
C00357-K1,C00357
C00358-K1,C00358
C00359-K1,C00359
C00360-K1,C00360
C00361-K1,C00361
C00362-K1,C00362
C00363-K1,C00363
C00364-K1,C00364
C00365-K1,C00365
C00366-K1,C00366
C00367-K1,C00367
C00368-K1,C00368
C00369-K1,C00369
C00370-K1,C00370
C00370-K2,C00370
C00371-K1,C00371
C00372-K1,C00372
C00373-K1,C00373
C00374-K1,C00374
C00375-K1,C00375
C00376-K1,C00376
C00377-K1,C00377
C00378-K1,C00378
C00379-K1,C00379
C00380-K1,C00380
C00381-K1,C00381
C00382-K1,C00382
C00383-K1,C00383
C00384-K1,C00384
C00385-K1,C00385
C00386-K1,C00386
C00387-K1,C00387
C00388-K1,C00388
C00389-K1,C00389
C00390-K1,C00390
C00391-K1,C00391
C00392-K1,C00392
C00393-K1,C00393
C00394-K1,C00394
C00395-K1,C00395
C00396-K1,C00396
C00397-K1,C00397
C00398-K1,C00398
C00399-K1,C00399
C00400-K1,C00400
C00401-K1,C00401
C00402-K1,C00402
C00403-K1,C00403
C00404-K1,C00404
C00405-K1,C00405
C00406-K1,C00406
C00407-K1,C00407
C00408-K1,C00408
C00409-K1,C00409
C00410-K1,C00410
C00411-K1,C00411
C00412-K1,C00412
C00413-K1,C00413
C00414-K1,C00414
C00415-K1,C00415
C00416-K1,C00416
C00417-K1,C00417
C00418-K1,C00418
C00419-K1,C00419
C00419-K2,C00419
C00420-K1,C00420
C00421-K1,C00421
C00422-K1,C00422
C00423-K1,C00423
C00424-K1,C00424
C00425-K1,C00425
C00426-K1,C00426
C00426-K2,C00426
C00427-K1,C00427
C00428-K1,C00428
C00429-K1,C00429
C00430-K1,C00430
C00431-K1,C00431
C00432-K1,C00432
C00433-K1,C00433
C00434-K1,C00434
C00435-K1,C00435
C00436-K1,C00436
C00437-K1,C00437
C00438-K1,C00438
C00439-K1,C00439
C00440-K1,C00440
C00441-K1,C00441
C00442-K1,C00442
C00443-K1,C00443
C00444-K1,C00444
C00445-K1,C00445
C00446-K1,C00446
C00447-K1,C00447
C00448-K1,C00448
C00449-K1,C00449
C00450-K1,C00450
C00451-K1,C00451
C00452-K1,C00452
C00452-K2,C00452
C00453-K1,C00453
C00454-K1,C00454
C00455-K1,C00455
C00456-K1,C00456
C00457-K1,C00457
C00458-K1,C00458
C00459-K1,C00459
C00460-K1,C00460
C00461-K1,C00461
C00462-K1,C00462
C00463-K1,C00463
C00464-K1,C00464
C00465-K1,C00465
C00466-K1,C00466
C00467-K1,C00467
C00468-K1,C00468
C00469-K1,C00469
C00470-K1,C00470
C00471-K1,C00471
C00472-K1,C00472
C00473-K1,C00473
C00474-K1,C00474
C00475-K1,C00475
C00476-K1,C00476
C00477-K1,C00477
C00478-K1,C00478
C00479-K1,C00479
C00480-K1,C00480
C00481-K1,C00481
C00482-K1,C00482
C00483-K1,C00483
C00484-K1,C00484
C00485-K1,C00485
C00486-K1,C00486
C00487-K1,C00487
C00488-K1,C00488
C00489-K1,C00489
C00490-K1,C00490
C00491-K1,C00491
C00492-K1,C00492
C00493-K1,C00493
C00494-K1,C00494
C00495-K1,C00495
C00495-K2,C00495
C00496-K1,C00496
C00497-K1,C00497
C00498-K1,C00498
C00499-K1,C00499
C00500-K1,C00500
C00501-K1,C00501
C00502-K1,C00502
C00503-K1,C00503
C00504-K1,C00504
C00505-K1,C00505
C00506-K1,C00506
C00507-K1,C00507
C00508-K1,C00508
C00509-K1,C00509
C00510-K1,C00510
C00511-K1,C00511
C00512-K1,C00512
C00513-K1,C00513
C00514-K1,C00514
C00515-K1,C00515
C00516-K1,C00516
C00517-K1,C00517
C00518-K1,C00518
C00519-K1,C00519
C00520-K1,C00520
C00520-K2,C00520
C00521-K1,C00521
C00522-K1,C00522
C00523-K1,C00523
C00524-K1,C00524
C00525-K1,C00525
C00526-K1,C00526
C00527-K1,C00527
C00528-K1,C00528
C00529-K1,C00529
C00530-K1,C00530
C00531-K1,C00531
C00532-K1,C00532
C00533-K1,C00533
C00534-K1,C00534
C00534-K2,C00534
C00535-K1,C00535
C00536-K1,C00536
C00537-K1,C00537
C00538-K1,C00538
C00539-K1,C00539
C00540-K1,C00540
C00540-K2,C00540
C00541-K1,C00541
C00542-K1,C00542
C00543-K1,C00543
C00544-K1,C00544
C00545-K1,C00545
C00546-K1,C00546
C00547-K1,C00547
C00548-K1,C00548
C00549-K1,C00549
C00550-K1,C00550
C00551-K1,C00551
C00552-K1,C00552
C00553-K1,C00553
C00554-K1,C00554
C00555-K1,C00555
C00556-K1,C00556
C00557-K1,C00557
C00558-K1,C00558
C00559-K1,C00559
C00560-K1,C00560
C00561-K1,C00561
C00562-K1,C00562
C00563-K1,C00563
C00564-K1,C00564
C00565-K1,C00565
C00565-K2,C00565
C00566-K1,C00566
C00567-K1,C00567
C00568-K1,C00568
C00569-K1,C00569
C00570-K1,C00570
C00571-K1,C00571
C00572-K1,C00572
C00573-K1,C00573
C00574-K1,C00574
C00575-K1,C00575
C00576-K1,C00576
C00577-K1,C00577
C00578-K1,C00578
C00579-K1,C00579
C00580-K1,C00580
C00581-K1,C00581
C00582-K1,C00582
C00583-K1,C00583
C00584-K1,C00584
C00585-K1,C00585
C00586-K1,C00586
C00587-K1,C00587
C00588-K1,C00588
C00589-K1,C00589
C00590-K1,C00590
C00591-K1,C00591
C00592-K1,C00592
C00593-K1,C00593
C00594-K1,C00594
C00595-K1,C00595
C00596-K1,C00596
C00597-K1,C00597
C00598-K1,C00598
C00599-K1,C00599
C00599-K2,C00599
C00600-K1,C00600
C00601-K1,C00601
C00602-K1,C00602
C00603-K1,C00603
C00604-K1,C00604
C00605-K1,C00605
C00606-K1,C00606
C00607-K1,C00607
C00608-K1,C00608
C00609-K1,C00609
C00610-K1,C00610
C00611-K1,C00611
C00612-K1,C00612
C00613-K1,C00613
C00614-K1,C00614
C00614-K2,C00614
C00615-K1,C00615
C00616-K1,C00616
C00617-K1,C00617
C00618-K1,C00618
C00619-K1,C00619
C00620-K1,C00620
C00621-K1,C00621
C00621-K2,C00621
C00622-K1,C00622
C00623-K1,C00623
C00624-K1,C00624
C00625-K1,C00625
C00626-K1,C00626
C00627-K1,C00627
C00628-K1,C00628
C00629-K1,C00629
C00630-K1,C00630
C00631-K1,C00631
C00632-K1,C00632
C00633-K1,C00633
C00634-K1,C00634
C00635-K1,C00635
C00636-K1,C00636
C00637-K1,C00637
C00638-K1,C00638
C00639-K1,C00639
C00640-K1,C00640
C00641-K1,C00641
C00641-K2,C00641
C00642-K1,C00642
C00642-K2,C00642
C00643-K1,C00643
C00644-K1,C00644
C00645-K1,C00645
C00646-K1,C00646
C00647-K1,C00647
C00648-K1,C00648
C00649-K1,C00649
C00650-K1,C00650
C00651-K1,C00651
C00652-K1,C00652
C00653-K1,C00653
C00654-K1,C00654
C00655-K1,C00655
C00656-K1,C00656
C00657-K1,C00657
C00658-K1,C00658
C00659-K1,C00659
C00660-K1,C00660
C00661-K1,C00661
C00662-K1,C00662
C00663-K1,C00663
C00664-K1,C00664
C00665-K1,C00665
C00666-K1,C00666
C00667-K1,C00667
C00668-K1,C00668
C00669-K1,C00669
C00670-K1,C00670
C00671-K1,C00671
C00672-K1,C00672
C00673-K1,C00673
C00674-K1,C00674
C00675-K1,C00675
C00676-K1,C00676
C00677-K1,C00677
C00678-K1,C00678
C00679-K1,C00679
C00680-K1,C00680
C00681-K1,C00681
C00682-K1,C00682
C00683-K1,C00683
C00684-K1,C00684
C00685-K1,C00685
C00686-K1,C00686
C00687-K1,C00687
C00688-K1,C00688
C00689-K1,C00689
C00690-K1,C00690
C00691-K1,C00691
C00692-K1,C00692
C00693-K1,C00693
C00694-K1,C00694
C00695-K1,C00695
C00696-K1,C00696
C00697-K1,C00697
C00697-K2,C00697
C00698-K1,C00698
C00699-K1,C00699
C00700-K1,C00700
C00701-K1,C00701
C00702-K1,C00702
C00703-K1,C00703
C00704-K1,C00704
C00705-K1,C00705
C00706-K1,C00706
C00707-K1,C00707
C00708-K1,C00708
C00709-K1,C00709
C00710-K1,C00710
C00711-K1,C00711
C00712-K1,C00712
C00713-K1,C00713
C00714-K1,C00714
C00715-K1,C00715
C00716-K1,C00716
C00717-K1,C00717
C00718-K1,C00718
C00719-K1,C00719
C00720-K1,C00720
C00721-K1,C00721
C00722-K1,C00722
C00723-K1,C00723
C00723-K2,C00723
C00724-K1,C00724
C00725-K1,C00725
C00726-K1,C00726
C00727-K1,C00727
C00728-K1,C00728
C00728-K2,C00728
C00729-K1,C00729
C00730-K1,C00730
C00730-K2,C00730
C00731-K1,C00731
C00732-K1,C00732
C00733-K1,C00733
C00734-K1,C00734
C00735-K1,C00735
C00736-K1,C00736
C00737-K1,C00737
C00738-K1,C00738
C00739-K1,C00739
C00740-K1,C00740
C00741-K1,C00741
C00742-K1,C00742
C00743-K1,C00743
C00744-K1,C00744
C00745-K1,C00745
C00746-K1,C00746
C00747-K1,C00747
C00748-K1,C00748
C00749-K1,C00749
C00750-K1,C00750
C00750-K2,C00750
C00751-K1,C00751
C00752-K1,C00752
C00753-K1,C00753
C00754-K1,C00754
C00754-K2,C00754
C00755-K1,C00755
C00756-K1,C00756
C00757-K1,C00757
C00758-K1,C00758
C00759-K1,C00759
C00760-K1,C00760
C00761-K1,C00761
C00762-K1,C00762
C00763-K1,C00763
C00764-K1,C00764
C00765-K1,C00765
C00766-K1,C00766
C00767-K1,C00767
C00768-K1,C00768
C00768-K2,C00768
C00769-K1,C00769
C00770-K1,C00770
C00771-K1,C00771
C00772-K1,C00772
C00773-K1,C00773
C00773-K2,C00773
C00774-K1,C00774
C00775-K1,C00775
C00776-K1,C00776
C00777-K1,C00777
C00778-K1,C00778
C00779-K1,C00779
C00780-K1,C00780
C00781-K1,C00781
C00782-K1,C00782
C00783-K1,C00783
C00784-K1,C00784
C00785-K1,C00785
C00786-K1,C00786
C00787-K1,C00787
C00788-K1,C00788
C00789-K1,C00789
C00790-K1,C00790
C00791-K1,C00791
C00792-K1,C00792
C00793-K1,C00793
C00794-K1,C00794
C00795-K1,C00795
C00796-K1,C00796
C00797-K1,C00797
C00798-K1,C00798
C00799-K1,C00799
C00800-K1,C00800
C00801-K1,C00801
C00802-K1,C00802
C00803-K1,C00803
C00803-K2,C00803
C00804-K1,C00804
C00805-K1,C00805
C00806-K1,C00806
C00807-K1,C00807
C00808-K1,C00808
C00809-K1,C00809
C00810-K1,C00810
C00811-K1,C00811
C00812-K1,C00812
C00813-K1,C00813
C00814-K1,C00814
C00814-K2,C00814
C00815-K1,C00815
C00816-K1,C00816
C00817-K1,C00817
C00818-K1,C00818
C00819-K1,C00819
C00820-K1,C00820
C00821-K1,C00821
C00822-K1,C00822
C00823-K1,C00823
C00824-K1,C00824
C00825-K1,C00825
C00826-K1,C00826
C00827-K1,C00827
C00828-K1,C00828
C00829-K1,C00829
C00830-K1,C00830
C00831-K1,C00831
C00832-K1,C00832
C00833-K1,C00833
C00834-K1,C00834
C00834-K2,C00834
C00835-K1,C00835
C00836-K1,C00836
C00837-K1,C00837
C00838-K1,C00838
C00839-K1,C00839
C00840-K1,C00840
C00841-K1,C00841
C00842-K1,C00842
C00842-K2,C00842
C00843-K1,C00843
C00844-K1,C00844
C00845-K1,C00845
C00846-K1,C00846
C00847-K1,C00847
C00848-K1,C00848
C00849-K1,C00849
C00850-K1,C00850
C00851-K1,C00851
C00852-K1,C00852
C00853-K1,C00853
C00854-K1,C00854
C00854-K2,C00854
C00855-K1,C00855
C00856-K1,C00856
C00857-K1,C00857
C00858-K1,C00858
C00859-K1,C00859
C00860-K1,C00860
C00861-K1,C00861
C00862-K1,C00862
C00863-K1,C00863
C00864-K1,C00864
C00865-K1,C00865
C00866-K1,C00866
C00867-K1,C00867
C00868-K1,C00868
C00869-K1,C00869
C00870-K1,C00870
C00871-K1,C00871
C00872-K1,C00872
C00873-K1,C00873
C00874-K1,C00874
C00875-K1,C00875
C00875-K2,C00875
C00876-K1,C00876
C00877-K1,C00877
C00878-K1,C00878
C00879-K1,C00879
C00879-K2,C00879
C00880-K1,C00880
C00881-K1,C00881
C00882-K1,C00882
C00883-K1,C00883
C00884-K1,C00884
C00885-K1,C00885
C00886-K1,C00886
C00887-K1,C00887
C00888-K1,C00888
C00889-K1,C00889
C00889-K2,C00889
C00890-K1,C00890
C00891-K1,C00891
C00892-K1,C00892
C00893-K1,C00893
C00894-K1,C00894
C00895-K1,C00895
C00896-K1,C00896
C00897-K1,C00897
C00898-K1,C00898
C00899-K1,C00899
C00900-K1,C00900
C00901-K1,C00901
C00902-K1,C00902
C00903-K1,C00903
C00904-K1,C00904
C00905-K1,C00905
C00906-K1,C00906
C00907-K1,C00907
C00908-K1,C00908
C00909-K1,C00909
C00910-K1,C00910
C00911-K1,C00911
C00912-K1,C00912
C00913-K1,C00913
C00914-K1,C00914
C00915-K1,C00915
C00915-K2,C00915
C00916-K1,C00916
C00917-K1,C00917
C00918-K1,C00918
C00919-K1,C00919
C00920-K1,C00920
C00921-K1,C00921
C00922-K1,C00922
C00923-K1,C00923
C00924-K1,C00924
C00925-K1,C00925
C00926-K1,C00926
C00927-K1,C00927
C00928-K1,C00928
C00928-K2,C00928
C00929-K1,C00929
C00930-K1,C00930
C00931-K1,C00931
C00932-K1,C00932
C00933-K1,C00933
C00934-K1,C00934
C00935-K1,C00935
C00936-K1,C00936
C00937-K1,C00937
C00938-K1,C00938
C00939-K1,C00939
C00940-K1,C00940
C00941-K1,C00941
C00942-K1,C00942
C00942-K2,C00942
C00943-K1,C00943
C00944-K1,C00944
C00945-K1,C00945
C00946-K1,C00946
C00947-K1,C00947
C00948-K1,C00948
C00949-K1,C00949
C00950-K1,C00950
C00951-K1,C00951
C00952-K1,C00952
C00953-K1,C00953
C00954-K1,C00954
C00955-K1,C00955
C00956-K1,C00956
C00957-K1,C00957
C00958-K1,C00958
C00959-K1,C00959
C00960-K1,C00960
C00961-K1,C00961
C00962-K1,C00962
C00962-K2,C00962
C00963-K1,C00963
C00964-K1,C00964
C00965-K1,C00965
C00966-K1,C00966
C00967-K1,C00967
C00968-K1,C00968
C00969-K1,C00969
C00969-K2,C00969
C00970-K1,C00970
C00971-K1,C00971
C00972-K1,C00972
C00973-K1,C00973
C00974-K1,C00974
C00975-K1,C00975
C00976-K1,C00976
C00977-K1,C00977
C00978-K1,C00978
C00979-K1,C00979
C00980-K1,C00980
C00981-K1,C00981
C00982-K1,C00982
C00983-K1,C00983
C00984-K1,C00984
C00985-K1,C00985
C00986-K1,C00986
C00987-K1,C00987
C00988-K1,C00988
C00989-K1,C00989
C00990-K1,C00990
C00991-K1,C00991
C00992-K1,C00992
C00993-K1,C00993
C00994-K1,C00994
C00995-K1,C00995
C00996-K1,C00996
C00997-K1,C00997
C00998-K1,C00998
C00999-K1,C00999
C01000-K1,C01000
C01001-K1,C01001
C01002-K1,C01002
C01003-K1,C01003
C01004-K1,C01004
C01005-K1,C01005
C01006-K1,C01006
C01007-K1,C01007
C01008-K1,C01008
C01008-K2,C01008
C01009-K1,C01009
C01010-K1,C01010
C01011-K1,C01011
C01012-K1,C01012
C01013-K1,C01013
C01014-K1,C01014
C01015-K1,C01015
C01016-K1,C01016
C01017-K1,C01017
C01018-K1,C01018
C01019-K1,C01019
C01020-K1,C01020
C01021-K1,C01021
C01022-K1,C01022
C01023-K1,C01023
C01024-K1,C01024
C01025-K1,C01025
C01025-K2,C01025
C01026-K1,C01026
C01027-K1,C01027
C01028-K1,C01028
C01029-K1,C01029
C01030-K1,C01030
C01031-K1,C01031
C01032-K1,C01032
C01033-K1,C01033
C01034-K1,C01034
C01035-K1,C01035
C01036-K1,C01036
C01037-K1,C01037
C01038-K1,C01038
C01039-K1,C01039
C01040-K1,C01040
C01040-K2,C01040
C01041-K1,C01041
C01042-K1,C01042
C01043-K1,C01043
C01044-K1,C01044
C01045-K1,C01045
C01046-K1,C01046
C01047-K1,C01047
C01048-K1,C01048
C01048-K2,C01048
C01049-K1,C01049
C01050-K1,C01050
C01051-K1,C01051
C01052-K1,C01052
C01053-K1,C01053
C01054-K1,C01054
C01055-K1,C01055
C01056-K1,C01056
C01057-K1,C01057
C01057-K2,C01057
C01058-K1,C01058
C01059-K1,C01059
C01060-K1,C01060
C01061-K1,C01061
C01062-K1,C01062
C01063-K1,C01063
C01063-K2,C01063
C01064-K1,C01064
C01065-K1,C01065
C01066-K1,C01066
C01067-K1,C01067
C01068-K1,C01068
C01069-K1,C01069
C01070-K1,C01070
C01071-K1,C01071
C01072-K1,C01072
C01072-K2,C01072
C01073-K1,C01073
C01074-K1,C01074
C01075-K1,C01075
C01076-K1,C01076
C01077-K1,C01077
C01078-K1,C01078
C01079-K1,C01079
C01080-K1,C01080
C01081-K1,C01081
C01082-K1,C01082
C01083-K1,C01083
C01084-K1,C01084
C01085-K1,C01085
C01086-K1,C01086
C01087-K1,C01087
C01088-K1,C01088
C01089-K1,C01089
C01090-K1,C01090
C01091-K1,C01091
C01092-K1,C01092
C01093-K1,C01093
C01094-K1,C01094
C01095-K1,C01095
C01096-K1,C01096
C01097-K1,C01097
C01098-K1,C01098
C01099-K1,C01099
C01100-K1,C01100
C01101-K1,C01101
C01102-K1,C01102
C01103-K1,C01103
C01104-K1,C01104
C01104-K2,C01104
C01105-K1,C01105
C01106-K1,C01106
C01107-K1,C01107
C01108-K1,C01108
C01109-K1,C01109
C01109-K2,C01109
C01110-K1,C01110
C01111-K1,C01111
C01112-K1,C01112
C01113-K1,C01113
C01114-K1,C01114
C01115-K1,C01115
C01116-K1,C01116
C01116-K2,C01116
C01117-K1,C01117
C01118-K1,C01118
C01119-K1,C01119
C01119-K2,C01119
C01120-K1,C01120
C01121-K1,C01121
C01122-K1,C01122
C01123-K1,C01123
C01124-K1,C01124
C01125-K1,C01125
C01126-K1,C01126
C01127-K1,C01127
C01128-K1,C01128
C01128-K2,C01128
C01129-K1,C01129
C01130-K1,C01130
C01131-K1,C01131
C01132-K1,C01132
C01133-K1,C01133
C01134-K1,C01134
C01134-K2,C01134
C01135-K1,C01135
C01136-K1,C01136
C01137-K1,C01137
C01138-K1,C01138
C01138-K2,C01138
C01139-K1,C01139
C01140-K1,C01140
C01141-K1,C01141
C01142-K1,C01142
C01143-K1,C01143
C01144-K1,C01144
C01145-K1,C01145
C01146-K1,C01146
C01147-K1,C01147
C01148-K1,C01148
C01149-K1,C01149
C01150-K1,C01150
C01151-K1,C01151
C01152-K1,C01152
C01153-K1,C01153
C01154-K1,C01154
C01155-K1,C01155
C01155-K2,C01155
C01156-K1,C01156
C01157-K1,C01157
C01157-K2,C01157
C01158-K1,C01158
C01159-K1,C01159
C01160-K1,C01160
C01161-K1,C01161
C01162-K1,C01162
C01163-K1,C01163
C01163-K2,C01163
C01164-K1,C01164
C01165-K1,C01165
C01166-K1,C01166
C01167-K1,C01167
C01168-K1,C01168
C01169-K1,C01169
C01170-K1,C01170
C01171-K1,C01171
C01172-K1,C01172
C01173-K1,C01173
C01174-K1,C01174
C01175-K1,C01175
C01176-K1,C01176
C01177-K1,C01177
C01178-K1,C01178
C01179-K1,C01179
C01180-K1,C01180
C01181-K1,C01181
C01182-K1,C01182
C01183-K1,C01183
C01184-K1,C01184
C01185-K1,C01185
C01186-K1,C01186
C01187-K1,C01187
C01188-K1,C01188
C01189-K1,C01189
C01190-K1,C01190
