device_id,device_info,device_os,device_browser,device_screen,device_type
D000108,,Android,chrome 63.0,801x480,mobile
D000109,,Android,chrome 63.0,855x480,mobile
D000110,,Android,chrome 63.0,960x540,mobile
D000111,,Android,chrome 64.0,,mobile
D000112,,Android,chrome 64.0,1280x720,mobile
D000113,,Android,chrome 64.0,1280x800,mobile
D000114,,Android,chrome 64.0,1366x768,mobile
D000115,,Android,chrome 64.0,1920x1080,mobile
D000116,,Android,chrome 64.0,2560x1600,mobile
D000117,,Android,chrome 64.0,855x480,mobile
D000118,,Android,chrome 65.0,,mobile
D000119,,Android,chrome 65.0,1280x720,mobile
D000120,,Android,chrome 65.0,1280x800,mobile
D000121,,Android,chrome 65.0,1281x721,mobile
D000122,,Android,chrome 65.0,1366x768,mobile
D000123,,Android,chrome 65.0,1920x1080,mobile
D000124,,Android,chrome 65.0,2560x1440,mobile
D000125,,Android,chrome 65.0,801x480,mobile
D000126,,Android,chrome 65.0,855x480,mobile
D000127,,Android,chrome 66.0,1024x600,mobile
D000128,,Android,chrome 66.0,1280x720,mobile
D000129,,Android,chrome 66.0,1280x800,mobile
D000130,,Android,chrome 66.0,1920x1080,mobile
D000131,,Android,chrome 66.0,2560x1440,mobile
D000132,,Android,chrome 66.0,801x480,mobile
D000133,,Android,chrome 66.0,855x480,mobile
D000134,,Android,chrome generic,,mobile
D000135,,Android,chrome generic,1280x720,mobile
D000136,,Android,chrome generic,1920x1080,mobile
D000137,,Android,chrome generic,801x480,mobile
D000138,,Android,chrome generic,855x480,mobile
D000139,,Android,chrome,1280x720,mobile
D000140,,Android,chrome,1366x768,desktop
D000141,,Android,chrome,1920x1080,mobile
D000142,,Android,chrome,855x480,mobile
D000143,,Android,samsung browser 6.2,1280x720,mobile
D000144,,Android,samsung browser 6.2,1920x1080,mobile
D000145,,Android,samsung browser 6.2,801x480,mobile
D000146,,Android,silk,,mobile
D000147,,Android,silk,1281x801,mobile
D000148,,Linux,,,desktop
D000149,,Linux,,1366x768,desktop
D000150,,Linux,,1536x864,desktop
D000151,,Linux,,1920x1080,desktop
D000152,,Linux,chrome 55.0,,desktop
D000153,,Linux,chrome 55.0,1366x768,desktop
D000154,,Linux,chrome 55.0,1920x1080,desktop
D000155,,Linux,chrome 56.0,1280x720,desktop
D000156,,Linux,chrome 56.0,1366x768,desktop
D000157,,Linux,chrome 56.0,1536x864,desktop
D000158,,Linux,chrome 56.0,1920x1200,desktop
D000159,,Linux,chrome 56.0,2220x1081,desktop
D000160,,Linux,chrome 57.0,1366x768,desktop
D000161,,Linux,chrome 59.0,1366x768,desktop
D000162,,Linux,chrome 59.0,1920x1080,desktop
D000163,,Linux,chrome 60.0,,desktop
D000164,,Linux,chrome 60.0,1360x768,desktop
D000165,,Linux,chrome 60.0,1366x768,desktop
D000166,,Linux,chrome 60.0,1536x864,desktop
D000167,,Linux,chrome 60.0,1920x1080,desktop
D000168,,Linux,chrome 60.0,2560x1440,desktop
D000169,,Linux,chrome 60.0,3200x1800,desktop
D000170,,Linux,chrome 61.0,1280x1024,desktop
D000171,,Linux,chrome 61.0,1366x768,desktop
D000172,,Linux,chrome 61.0,1920x1080,desktop
D000173,,Linux,chrome 61.0,2672x1440,desktop
D000174,,Linux,chrome 62.0,,desktop
D000175,,Linux,chrome 62.0,1200x675,desktop
D000176,,Linux,chrome 62.0,1280x1024,desktop
D000177,,Linux,chrome 62.0,1366x768,desktop
D000178,,Linux,chrome 62.0,1536x864,desktop
D000179,,Linux,chrome 62.0,1600x900,desktop
D000180,,Linux,chrome 62.0,1680x1050,desktop
D000181,,Linux,chrome 62.0,1920x1080,desktop
D000182,,Linux,chrome 62.0,1920x1200,desktop
D000183,,Linux,chrome 62.0,2049x1152,desktop
D000184,,Linux,chrome 62.0,2160x1215,desktop
D000185,,Linux,chrome 62.0,2220x1080,desktop
D000186,,Linux,chrome 62.0,2400x1600,desktop
D000187,,Linux,chrome 62.0,2560x1440,desktop
D000188,,Linux,chrome 62.0,2562x1442,desktop
D000189,,Linux,chrome 62.0,2880x1620,desktop
D000190,,Linux,chrome 62.0,2960x1440,desktop
D000191,,Linux,chrome 62.0,3200x1800,desktop
D000192,,Linux,chrome 62.0,3360x1890,desktop
D000193,,Linux,chrome 63.0,,desktop
D000194,,Linux,chrome 63.0,1200x675,desktop
D000195,,Linux,chrome 63.0,1280x720,desktop
D000196,,Linux,chrome 63.0,1280x800,desktop
D000197,,Linux,chrome 63.0,1366x768,desktop
D000198,,Linux,chrome 63.0,1440x810,desktop
D000199,,Linux,chrome 63.0,1536x864,desktop
D000200,,Linux,chrome 63.0,1920x1080,desktop
D000201,,Linux,chrome 63.0,1920x1280,desktop
D000202,,Linux,chrome 63.0,2220x1080,desktop
D000203,,Linux,chrome 63.0,2400x1350,desktop
D000204,,Linux,chrome 63.0,2400x1600,desktop
D000205,,Linux,chrome 63.0,2560x1440,desktop
D000206,,Linux,chrome 63.0,2560x1700,desktop
D000207,,Linux,chrome 63.0,2562x1442,desktop
D000208,,Linux,chrome 63.0,2672x1440,desktop
D000209,,Linux,chrome 63.0,2960x1440,desktop
D000210,,Linux,chrome 63.0,2961x1442,desktop
D000211,,Linux,chrome 64.0,,desktop
D000212,,Linux,chrome 64.0,1280x720,desktop
D000213,,Linux,chrome 64.0,1366x768,desktop
D000214,,Linux,chrome 64.0,1536x864,desktop
D000215,,Linux,chrome 64.0,1920x1080,desktop
D000216,,Linux,chrome 64.0,2560x1440,desktop
D000217,,Linux,chrome 64.0,2560x1700,desktop
D000218,,Linux,chrome 64.0,2960x1440,desktop
D000219,,Linux,chrome 64.0,2961x1442,desktop
D000220,,Linux,chrome 65.0,,desktop
D000221,,Linux,chrome 65.0,1280x720,desktop
D000222,,Linux,chrome 65.0,1366x768,desktop
D000223,,Linux,chrome 65.0,1536x864,desktop
D000224,,Linux,chrome 65.0,1920x1080,desktop
D000225,,Linux,chrome 65.0,1921x1081,desktop
D000226,,Linux,chrome 65.0,2220x1080,desktop
D000227,,Linux,chrome 65.0,2220x1081,desktop
D000228,,Linux,chrome 65.0,2400x1600,desktop
D000229,,Linux,chrome 65.0,2560x1440,desktop
D000230,,Linux,chrome 65.0,2562x1442,desktop
D000231,,Linux,chrome 65.0,2880x1620,desktop
D000232,,Linux,chrome 65.0,2961x1442,desktop
D000233,,Linux,chrome 66.0,1280x1024,desktop
D000234,,Linux,chrome 66.0,1280x720,desktop
D000235,,Linux,chrome 66.0,1280x800,desktop
D000236,,Linux,chrome 66.0,1366x768,desktop
D000237,,Linux,chrome 66.0,1920x1080,desktop
D000238,,Linux,chrome 66.0,2220x1080,desktop
D000239,,Linux,chrome 66.0,2220x1081,desktop
D000240,,Linux,chrome 66.0,2400x1600,desktop
D000241,,Linux,chrome 66.0,2560x1440,desktop
D000242,,Linux,chrome 66.0,2961x1442,desktop
D000243,,Linux,chrome generic,,desktop
D000244,,Linux,chrome generic,1280x720,desktop
D000245,,Linux,chrome generic,1280x800,desktop
D000246,,Linux,chrome generic,1366x768,desktop
D000247,,Linux,chrome generic,1920x1080,desktop
D000248,,Linux,chrome generic,2220x1080,desktop
D000249,,Linux,chrome generic,2220x1081,desktop
D000250,,Linux,chrome generic,2560x1440,desktop
D000251,,Linux,chrome generic,2961x1442,desktop
D000252,,Linux,chrome,1366x768,desktop
D000253,,Linux,chrome,1920x1080,desktop
D000254,,Linux,firefox,1280x1024,desktop
D000255,,Linux,samsung browser 6.2,,mobile
D000256,,Linux,samsung browser 6.2,1920x1080,mobile
D000257,,Linux,samsung browser 6.2,2220x1080,mobile
D000258,,Linux,samsung browser 6.2,2560x1440,mobile
D000259,,Linux,samsung browser 6.2,2960x1440,mobile
D000260,,Linux,samsung browser 6.2,2961x1442,mobile
D000261,,Linux,samsung browser 6.4,2560x1440,mobile
D000262,,func,chrome 58.0,1280x1024,desktop
D000263,,func,chrome 62.0 for ios,2048x1536,mobile
D000264,,func,chrome 62.0,1366x768,desktop
D000265,,func,mobile safari 11.0,2436x1125,mobile
D000266,,func,safari generic,2560x1600,desktop
D000267,,other,mobile safari 10.0,1136x640,mobile
D000268,,other,mobile safari 11.0,1334x750,mobile
D000269,,other,mobile safari 11.0,2208x1242,mobile
D000270,,other,mobile safari generic,2436x1125,mobile
D000271,0PAJ5,Android 6.0.1,chrome 63.0 for android,1920x1080,mobile
D000272,0PJA2,Android 7.0,chrome 61.0 for android,1920x1080,mobile
D000273,0PM92,,chrome 64.0 for android,,mobile
D000274,0PM92,Android 6.0.1,chrome 46.0 for android,1280x720,mobile
D000275,0PM92,Android 6.0.1,chrome 56.0 for android,1280x720,mobile
D000276,1016S,,chrome generic,,mobile
D000277,2PQ93,Android 7.0,chrome 59.0 for android,1920x1080,mobile
D000278,2PS64 Build/NRD90M,,chrome 63.0 for android,,mobile
D000279,2PS64 Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,mobile
D000280,2PS64 Build/NRD90M,Android 7.0,chrome 63.0 for android,,mobile
D000281,2PS64 Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,mobile
D000282,2PYB2,,chrome 63.0 for android,,mobile
D000283,2PYB2,,chrome 66.0 for android,,mobile
D000284,2PYB2,Android 7.0,chrome 63.0 for android,1920x1080,mobile
D000285,2PYB2,Android 7.0,chrome 63.0 for android,2560x1440,mobile
D000286,2PZC5,Android 7.1.1,chrome 63.0 for android,,mobile
D000287,2PZC5,Android 7.1.1,chrome 63.0 for android,2560x1440,mobile
D000288,4003A,,chrome 53.0 for android,,mobile
D000289,4009F,,chrome 65.0 for android,,mobile
D000290,4013M Build/KOT49H,,chrome 62.0 for android,,mobile
D000291,4013M Build/KOT49H,,chrome 64.0 for android,,mobile
D000292,4013M Build/KOT49H,,chrome,,mobile
D000293,4027A Build/KOT49H,,chrome 54.0 for android,,mobile
D000294,4027A Build/KOT49H,,chrome 64.0 for android,,mobile
D000295,4034E,,chrome 64.0 for android,,mobile
D000296,4034G,,chrome 64.0 for android,,mobile
D000297,4047A Build/NRD90M,,chrome 56.0 for android,,mobile
D000298,4047A Build/NRD90M,,chrome 65.0 for android,,mobile
D000299,4047A Build/NRD90M,,chrome 66.0 for android,,mobile
D000300,4047G Build/NRD90M,,chrome 56.0 for android,,mobile
D000301,4047G Build/NRD90M,,chrome 62.0 for android,,mobile
D000302,4047G Build/NRD90M,,chrome 64.0 for android,,mobile
D000303,4047G Build/NRD90M,,chrome 65.0 for android,,mobile
D000304,47418,,chrome 65.0 for android,,mobile
D000305,5010G Build/MRA58K,,android webview 4.0,,mobile
D000306,5010G Build/MRA58K,,chrome 50.0 for android,,mobile
D000307,5010G Build/MRA58K,,chrome 52.0 for android,,mobile
D000308,5010G Build/MRA58K,,chrome 59.0 for android,,mobile
D000309,5010G Build/MRA58K,,chrome 60.0 for android,,mobile
D000310,5010G Build/MRA58K,,chrome 61.0 for android,,mobile
D000311,5010G Build/MRA58K,,chrome 62.0 for android,,mobile
D000312,5010G Build/MRA58K,,chrome 63.0 for android,,mobile
D000313,5010G Build/MRA58K,,chrome 64.0 for android,,mobile
D000314,5010G Build/MRA58K,,chrome 65.0 for android,,mobile
D000315,5010G Build/MRA58K,,chrome 66.0 for android,,mobile
D000316,5010G Build/MRA58K,,chrome generic for android,,mobile
D000317,5010G Build/MRA58K,,chrome,,mobile
D000318,5010G Build/MRA58K,,other,,mobile
D000319,5010S Build/MRA58K,,chrome 62.0 for android,,mobile
D000320,5010S Build/MRA58K,,chrome 63.0 for android,,mobile
D000321,5010S Build/MRA58K,,chrome 64.0 for android,,mobile
D000322,5010S Build/MRA58K,,chrome 65.0 for android,,mobile
D000323,5010S Build/MRA58K,,chrome 66.0 for android,,mobile
D000324,5011A Build/NRD90M,,chrome 56.0 for android,,mobile
D000325,5011A Build/NRD90M,,chrome 62.0 for android,,mobile
D000326,5011A Build/NRD90M,,chrome 63.0 for android,,mobile
D000327,5011A Build/NRD90M,,chrome 64.0 for android,,mobile
D000328,5011A Build/NRD90M,,chrome 65.0 for android,,mobile
D000329,5011A Build/NRD90M,,chrome 66.0 for android,,mobile
D000330,5011A Build/NRD90M,,chrome generic for android,,mobile
D000331,5012G Build/MRA58K,,chrome 55.0 for android,,mobile
D000332,5012G Build/MRA58K,,chrome 62.0 for android,,mobile
D000333,5012G Build/MRA58K,,chrome 63.0 for android,,mobile
D000334,5012G Build/MRA58K,,chrome 64.0 for android,,mobile
D000335,5012G Build/MRA58K,,chrome 65.0 for android,,mobile
D000336,5012G Build/MRA58K,,chrome 66.0 for android,,mobile
D000337,5015A Build/LMY47I,,chrome 43.0 for android,,mobile
D000338,5015A Build/LMY47I,,chrome 55.0 for android,,mobile
D000339,5015A Build/LMY47I,,chrome 58.0 for android,,mobile
D000340,5015A Build/LMY47I,,chrome 59.0 for android,,mobile
D000341,5015A Build/LMY47I,,chrome 62.0 for android,,mobile
D000342,5015A Build/LMY47I,,chrome 63.0 for android,,mobile
D000343,5015A Build/LMY47I,,chrome 64.0 for android,,mobile
D000344,5015A Build/LMY47I,,chrome 65.0 for android,,mobile
D000345,5015A Build/LMY47I,,chrome 66.0 for android,,mobile
D000346,5017A,,chrome 64.0 for android,,mobile
D000347,5017A,,chrome 65.0 for android,,mobile
D000348,5025G Build/LMY47I,,chrome 43.0 for android,,mobile
D000349,5025G Build/LMY47I,,chrome 55.0 for android,,mobile
D000350,5025G Build/LMY47I,,chrome 58.0 for android,,mobile
D000351,5025G Build/LMY47I,,chrome 60.0 for android,,mobile
D000352,5025G Build/LMY47I,,chrome 61.0 for android,,mobile
D000353,5025G Build/LMY47I,,chrome 62.0 for android,,mobile
D000354,5025G Build/LMY47I,,chrome 63.0 for android,,mobile
D000355,5025G Build/LMY47I,,chrome 64.0 for android,,mobile
D000356,5025G Build/LMY47I,,chrome 65.0 for android,,mobile
D000357,5042A,,chrome 64.0 for android,,mobile
D000358,5044A,,chrome 64.0 for android,,mobile
D000359,5045I,,chrome generic for android,,mobile
D000360,5049W Build/NRD90M,Android 7.0,chrome 56.0 for android,1280x720,mobile
D000361,5049W Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,mobile
D000362,5049W Build/NRD90M,Android 7.0,chrome 63.0 for android,,mobile
D000363,5049W Build/NRD90M,Android 7.0,chrome 66.0 for android,1280x720,mobile
D000364,5051A Build/MMB29M,,chrome 50.0 for android,,mobile
D000365,5051A Build/MMB29M,,chrome 58.0 for android,,mobile
D000366,5051A Build/MMB29M,,chrome 61.0 for android,,mobile
D000367,5051A Build/MMB29M,,chrome 62.0 for android,,mobile
D000368,5051A Build/MMB29M,,chrome 65.0 for android,,mobile
D000369,5054N,,chrome 61.0 for android,,mobile
D000370,5054N,Android 5.1.1,chrome 53.0 for android,1280x720,mobile
D000371,5054S Build/LMY47V,,chrome 43.0 for android,,mobile
D000372,5054S Build/LMY47V,,chrome 56.0 for android,,mobile
D000373,5054S Build/LMY47V,,chrome 58.0 for android,,mobile
D000374,5054S Build/LMY47V,,chrome 61.0 for android,,mobile
D000375,5054S Build/LMY47V,,chrome 62.0 for android,,mobile
D000376,5054S Build/LMY47V,,chrome 63.0 for android,,mobile
D000377,5054S Build/LMY47V,,chrome 64.0 for android,,mobile
D000378,5056A Build/MMB29M,,chrome 52.0 for android,,mobile
D000379,5056A Build/MMB29M,,chrome 60.0 for android,,mobile
D000380,5056A Build/MMB29M,,chrome 63.0 for android,,mobile
D000381,5056A Build/MMB29M,,chrome 64.0 for android,,mobile
D000382,5056A Build/MMB29M,,chrome 65.0 for android,,mobile
D000383,5056N,Android 6.0.1,chrome 64.0 for android,1280x720,mobile
D000384,5056N,Android 6.0.1,chrome generic for android,1280x720,mobile
D000385,5057M,,chrome 63.0 for android,,mobile
D000386,5080A Build/MRA58K,,chrome 52.0 for android,,mobile
D000387,5080A Build/MRA58K,,chrome 60.0 for android,,mobile
D000388,5080A Build/MRA58K,,chrome 61.0 for android,,mobile
D000389,5080A Build/MRA58K,,chrome 62.0 for android,,mobile
D000390,5080A Build/MRA58K,,chrome 63.0 for android,,mobile
D000391,5080A Build/MRA58K,,chrome 64.0 for android,,mobile
D000392,5080A Build/MRA58K,,chrome 65.0 for android,,mobile
D000393,5080A Build/MRA58K,,chrome 66.0 for android,,mobile
D000394,5080A Build/MRA58K,,chrome generic for android,,mobile
D000395,5085B Build/MRA58K,,chrome 55.0 for android,,mobile
D000396,5085B Build/MRA58K,,chrome 63.0 for android,,mobile
D000397,5085B Build/MRA58K,,chrome 65.0 for android,,mobile
D000398,5095I Build/MRA58K,,chrome 63.0 for android,,mobile
D000399,5095I Build/MRA58K,,chrome 64.0 for android,,mobile
D000400,6037B,,chrome 66.0 for android,,mobile
D000401,6039A Build/LRX22G,,chrome 43.0 for android,,mobile
D000402,6039A Build/LRX22G,,chrome 63.0 for android,,mobile
D000403,6039A Build/LRX22G,,chrome 66.0 for android,,mobile
D000404,6045I Build/LRX22G,,chrome 58.0 for android,,mobile
D000405,6045I Build/LRX22G,,chrome 63.0 for android,,mobile
D000406,6055B,,chrome 65.0 for android,,mobile
D000407,7048A Build/LRX22G,,chrome 46.0 for android,,mobile
D000408,7048A Build/LRX22G,,chrome 57.0 for android,,mobile
D000409,7048A Build/LRX22G,,chrome 66.0 for android,,mobile
D000410,7055A Build/KVT49L,,chrome 59.0 for android,,mobile
D000411,7055A Build/KVT49L,,chrome 62.0 for android,,mobile
D000412,7055A Build/KVT49L,,chrome 63.0 for android,,mobile
D000413,7055A Build/KVT49L,,chrome 64.0 for android,,mobile
D000414,7055A Build/KVT49L,,chrome 65.0 for android,,mobile
D000415,7_Plus,,android webview 4.0,,mobile
D000416,8050G Build/LMY47I,,chrome 46.0 for android,,mobile
D000417,8050G Build/LMY47I,,chrome 50.0 for android,,mobile
D000418,8050G Build/LMY47I,,chrome 55.0 for android,,mobile
D000419,8050G Build/LMY47I,,chrome 56.0 for android,,mobile
D000420,8050G Build/LMY47I,,chrome 59.0 for android,,mobile
D000421,8050G Build/LMY47I,,chrome 61.0 for android,,mobile
D000422,8050G Build/LMY47I,,chrome 63.0 for android,,mobile
D000423,8050G Build/LMY47I,,chrome 64.0 for android,,mobile
D000424,8050G Build/LMY47I,,chrome 65.0 for android,,mobile
D000425,8050G Build/LMY47I,,chrome 66.0 for android,,mobile
D000426,8050G Build/LMY47I,,chrome generic,,desktop
D000427,8062 Build/MRA58K,,chrome 55.0 for android,,mobile
D000428,8062 Build/MRA58K,,chrome 64.0 for android,,mobile
D000429,8080 Build/LRX21M,,chrome 64.0 for android,,mobile
D000430,8080 Build/LRX21M,,chrome 65.0 for android,,mobile
D000431,831C,Android 6.0,chrome 63.0 for android,1920x1080,mobile
D000432,9002A,,chrome 63.0 for android,,mobile
D000433,9003A Build/MRA58K,,chrome 60.0 for android,,mobile
D000434,9003A Build/MRA58K,,chrome 61.0 for android,,mobile
D000435,9003A Build/MRA58K,,chrome 62.0 for android,,mobile
D000436,9008A Build/NRD90M,,chrome 55.0 for android,,mobile
D000437,9008A Build/NRD90M,,chrome 65.0 for android,,mobile
D000438,9008A Build/NRD90M,,chrome 66.0 for android,,mobile
D000439,9022X,,chrome 63.0 for android,,mobile
D000440,916,,chrome 59.0 for android,,mobile
D000441,9203A Build/MRA58K,,chrome 49.0 for android,,mobile
D000442,A0001 Build/MHC19Q,,chrome 64.0 for android,,mobile
D000443,A0001 Build/MHC19Q,Android 6.0.1,chrome 62.0 for android,1920x1080,mobile
D000444,A0001,,chrome 66.0 for android,,mobile
D000445,A1-850,,chrome 64.0 for android,,mobile
D000446,A1601 Build/LMY47I,,chrome 60.0 for android,,mobile
D000447,A1601 Build/LMY47I,,chrome 63.0 for android,,mobile
D000448,A3-A20,,chrome 66.0 for android,,mobile
D000449,A37f,,chrome 63.0 for android,,mobile
D000450,A3_mini,,android webview 4.0,,mobile
D000451,A3_mini,,chrome 63.0 for android,,mobile
D000452,A463BG,Android 4.4.2,chrome 56.0 for android,480x320,mobile
D000453,A466BG,Android 6.0,android webview 4.0,801x480,mobile
D000454,A5002,Android 6.0,chrome 55.0 for android,855x480,mobile
D000455,A50C+,,chrome 63.0 for android,,mobile
D000456,A574BL Build/NMF26F,Android 7.1.1,chrome 55.0 for android,855x480,mobile
D000457,A574BL Build/NMF26F,Android 7.1.1,chrome 64.0 for android,855x480,mobile
D000458,A577VL,Android 7.1.1,chrome 65.0 for android,1280x720,mobile
D000459,A621R,Android 5.1.1,chrome 62.0 for android,1280x720,mobile
D000460,A9,,android webview 4.0,,mobile
D000461,A952,,android webview 4.0,,mobile
D000462,A96 Build/LMY47I,,chrome 61.0 for android,,mobile
D000463,A97,,chrome 64.0 for android,,mobile
D000464,AERIAL Build/NRD90M,,chrome 65.0 for android,,mobile
D000465,AERIAL,,chrome 60.0 for android,,mobile
D000466,AERIAL,,chrome 64.0 for android,,mobile
D000467,AERIAL,,chrome 66.0 for android,,mobile
D000468,AKUS,,chrome 66.0 for android,,mobile
D000469,ALCATEL ONE TOUCH 5036A Build/JDQ39,,chrome 52.0 for android,,mobile
D000470,ALCATEL ONE TOUCH 5036A Build/JDQ39,,chrome 58.0 for android,,mobile
D000471,ALCATEL ONE TOUCH 5036A Build/JDQ39,,chrome 61.0 for android,,mobile
D000472,ALCATEL ONE TOUCH 5036A Build/JDQ39,,chrome 63.0 for android,,mobile
D000473,ALCATEL ONE TOUCH 5036A Build/JDQ39,,chrome 64.0 for android,,mobile
D000474,ALCATEL ONE TOUCH 7040A Build/JDQ39,,chrome 64.0 for android,,mobile
D000475,ALCATEL ONE TOUCH 7040A Build/JDQ39,,chrome generic,,desktop
D000476,ALCATEL ONE TOUCH 7042A Build/JDQ39,,chrome 60.0 for android,,mobile
D000477,ALCATEL ONE TOUCH 7042A Build/JDQ39,,chrome 61.0 for android,,mobile
D000478,ALCATEL ONE TOUCH 7042A Build/JDQ39,,chrome 64.0 for android,,mobile
D000479,ALCATEL ONE TOUCH 7042A Build/JDQ39,,chrome,,mobile
D000480,ALCATEL ONE TOUCH 7047A Build/JDQ39,,chrome 51.0 for android,,mobile
D000481,ALCATEL ONE TOUCH 7047A Build/JDQ39,,chrome 58.0 for android,,mobile
D000482,ALCATEL ONE TOUCH 7047A Build/JDQ39,,chrome 63.0 for android,,mobile
D000483,ALCATEL ONE TOUCH 7047A Build/JDQ39,,chrome 65.0 for android,,mobile
D000484,ALCATEL ONE TOUCH 7047A Build/JDQ39,,chrome,,mobile
D000485,ALCATEL,,chrome 61.0 for android,,mobile
D000486,ALCATEL,,chrome 62.0 for android,,mobile
D000487,ALCATEL,,chrome 63.0 for android,,mobile
D000488,ALCATEL,,chrome 64.0 for android,,mobile
D000489,ALCATEL,,chrome generic,,desktop
D000490,ALE-L21 Build/HuaweiALE-L21,,android webview 4.0,,mobile
D000491,ALE-L21 Build/HuaweiALE-L21,,chrome 50.0 for android,,mobile
D000492,ALE-L21 Build/HuaweiALE-L21,,chrome 62.0 for android,,mobile
D000493,ALE-L21 Build/HuaweiALE-L21,,chrome 63.0 for android,,mobile
D000494,ALE-L21 Build/HuaweiALE-L21,,chrome 64.0 for android,,mobile
D000495,ALE-L21 Build/HuaweiALE-L21,,chrome 65.0 for android,,mobile
D000496,ALE-L21 Build/HuaweiALE-L21,,chrome generic for android,,mobile
