TransactionID,device_id
3001996,D000001
3001999,D008833
3002008,D000001
3002010,D007042
3002013,D000001
3002019,D000014
3002021,D008837
3002022,D007736
3002024,D007145
3002027,D007150
3002035,D000014
3002036,D008507
3002038,D003166
3002039,D004783
3002040,D007436
3002048,D000014
3002050,D007145
3002056,D008082
3002069,D004783
3002070,D000047
3002077,D007042
3002080,D007742
3002085,D007145
3002087,D000052
3002092,D006237
3002094,D007154
3002095,D002964
3002099,D004581
3002110,D000097
3002114,D002951
3002118,D007152
3002120,D007042
3002122,D008707
3002138,D007145
3002140,D001829
3002144,D000623
3002145,D000671
3002147,D002951
3002149,D007042
3002161,D007042
3002169,D007424
3002179,D008442
3002187,D007042
3002189,D008832
3002190,D002847
3002193,D003366
3002198,D003157
3002202,D002841
3002203,D003172
3002204,D007042
3002205,D008807
3002207,D003172
3002210,D003268
3002217,D003366
3002220,D007482
3002221,D007135
3002222,D002847
3002229,D008832
3002234,D000036
3002242,D003268
3002249,D008833
3002261,D007154
3002267,D000035
3002278,D006272
3002280,D000049
3002282,D001459
3002286,D007042
3002287,D008076
3002288,D007408
3002290,D000049
3002294,D007150
3002322,D006881
3002334,D007042
3002338,D007042
3002340,D007555
3002343,D008834
3002346,D008835
3002347,D006749
3002348,D008834
3002351,D008793
3002356,D008832
3002360,D007145
3002362,D005343
3002363,D003359
3002376,D007741
3002381,D007042
3002385,D004765
3002386,D000181
3002393,D007061
3002397,D000001
3002400,D000066
3002402,D007439
3002406,D002716
3002408,D008076
3002412,D008835
3002419,D007142
3002420,D002526
3002423,D002954
3002430,D002954
3002437,D007453
3002445,D007041
3002446,D002954
3002447,D003357
3002451,D000049
3002452,D007053
3002456,D003788
3002458,D002033
3002466,D002720
3002469,D008710
3002470,D000049
3002474,D003358
3002476,D009327
3002479,D008709
3002484,D008710
3002486,D008836
3002492,D008742
3002493,D007042
3002503,D000052
3002504,D008710
3002505,D008861
3002513,D007041
3002519,D003828
3002520,D007429
3002530,D007404
3002531,D007041
3002532,D000014
3002536,D007404
3002537,D008824
3002541,D000049
3002542,D008834
3002544,D008836
3002546,D008774
3002549,D006085
3002552,D007145
3002553,D008835
3002557,D007154
3002560,D002716
3002562,D007042
3002563,D007041
3002564,D000014
3002568,D007041
3002578,D007145
3002580,D002716
3002583,D008657
3002585,D007404
3002587,D008832
3002588,D007042
3002590,D002801
3002591,D009063
3002592,D008832
3002593,D006793
3002595,D000702
3002599,D009067
3002601,D001715
3002605,D002720
3002610,D007737
3002612,D000014
3002619,D008835
3002625,D006849
3002627,D000047
3002629,D007154
3002634,D007042
3002635,D008832
3002645,D007042
3002651,D007744
3002653,D006558
3002655,D005823
3002656,D007424
3002657,D007042
3002660,D007042
3002661,D006747
3002663,D007744
3002668,D003123
3002670,D001715
3002671,D008709
3002675,D007042
3002679,D007551
3002681,D003123
3002694,D000049
3002696,D000014
3002697,D007042
3002700,D007744
3002703,D007424
3002704,D000001
3002716,D008832
3002726,D000004
3002732,D000036
3002737,D000004
3002741,D008807
3002745,D006748
3002753,D007145
3002758,D007042
3002766,D008832
3002771,D005466
3002775,D007042
3002778,D007424
3002784,D009396
3002788,D000014
3002789,D000001
3002790,D007744
3002792,D007042
3002795,D008807
3002796,D006924
3002802,D008707
3002808,D007042
3002809,D008831
3002810,D009425
3002818,D008835
3002820,D001692
3002821,D003730
3002825,D000052
3002826,D000036
3002828,D001692
3002829,D003856
3002831,D000066
3002833,D007429
3002839,D004757
3002840,D001692
3002851,D007042
3002856,D008835
3002857,D007723
3002858,D002965
3002860,D001605
3002862,D003171
3002865,D008681
3002871,D008838
3002872,D007145
3002876,D007042
3002877,D003172
3002879,D006086
3002885,D007042
3002886,D007042
3002887,D007042
3002891,D003367
3002894,D000014
3002895,D007443
3002896,D008842
3002898,D001823
3002899,D008683
3002901,D007042
3002902,D008167
3002906,D007150
3002909,D008315
3002910,D000004
3002911,D007145
3002916,D005227
3002918,D000049
3002925,D001221
3002927,D008824
3002928,D007042
3002932,D000014
3002942,D003283
3002948,D000001
3002949,D000001
3002952,D007042
3002956,D007053
3002957,D009200
3002958,D000014
3002962,D008709
3002963,D000014
3002965,D000049
3002966,D000004
3002967,D008838
3002968,D000014
3002973,D008232
3002974,D000004
3002977,D008683
3002983,D008706
3002985,D007053
3002986,D000014
3002991,D007042
3002995,D007145
3003002,D007408
3003004,D008706
3003005,D007042
3003020,D003172
3003026,D006085
3003041,D007726
3003045,D007726
3003049,D002316
3003070,D000001
3003073,D005140
3003082,D007154
3003084,D007154
3003085,D006747
3003093,D007154
3003111,D006667
3003121,D008832
3003129,D000012
3003138,D000001
3003159,D007154
3003160,D003150
3003172,D007745
3003187,D000090
3003194,D008709
3003197,D007150
3003200,D008752
3003205,D007436
3003212,D006816
3003218,D007453
3003220,D009518
3003232,D003276
3003233,D000014
3003246,D009527
3003259,D009185
3003260,D003372
3003265,D008838
3003285,D008832
3003286,D008835
3003287,D007042
3003291,D008832
3003300,D008071
3003301,D008835
3003310,D008214
3003314,D007727
3003316,D007727
3003318,D000177
3003319,D007727
3003330,D009150
3003331,D008835
3003332,D008809
3003334,D008835
3003335,D009150
3003348,D006747
3003350,D008841
3003351,D007424
3003352,D007727
3003354,D003307
3003355,D007727
3003358,D000049
3003359,D004574
3003361,D006849
3003365,D007727
3003367,D006881
3003372,D004574
3003375,D002841
3003378,D007042
3003388,D007138
3003389,D007741
3003390,D000001
3003400,D008714
3003407,D009150
3003409,D007741
3003412,D006952
3003418,D007927
3003424,D008079
3003436,D008669
3003437,D000004
3003439,D007042
3003444,D008669
3003447,D002641
3003452,D007017
3003468,D002830
3003472,D007145
3003473,D007154
3003475,D007737
3003476,D007145
3003481,D004574
3003483,D006747
3003485,D000014
3003493,D008076
3003495,D006852
3003499,D003120
3003501,D008082
3003502,D007029
3003509,D000014
3003513,D000014
3003518,D008762
3003521,D000014
3003535,D000014
3003547,D007737
3003550,D007555
3003556,D000049
3003562,D007150
3003565,D008856
3003567,D007742
3003573,D007749
3003579,D007139
3003585,D005824
3003586,D008867
3003599,D007140
3003600,D006859
3003607,D004635
3003614,D007145
3003615,D007738
3003616,D008832
3003618,D009351
3003619,D007154
3003620,D005109
3003623,D005234
3003624,D007154
3003627,D007555
3003631,D006871
3003643,D007154
3003648,D008742
3003649,D007738
3003653,D003358
3003661,D007424
3003665,D008832
3003671,D008835
3003675,D008834
3003685,D008706
3003686,D007415
3003688,D003366
3003695,D008706
3003697,D003091
3003704,D008831
3003708,D003730
3003715,D007154
3003734,D007532
3003737,D007164
3003740,D007436
3003747,D007417
3003748,D006801
3003754,D008835
3003758,D000036
3003761,D008716
3003767,D008707
3003771,D007042
3003772,D009086
3003776,D007744
3003777,D007744
3003779,D003935
3003782,D007741
3003783,D007443
3003784,D006754
3003785,D007134
3003790,D007737
3003792,D000014
3003794,D008806
3003802,D007138
3003803,D007443
3003820,D007042
3003821,D008693
3003822,D007152
3003832,D007150
3003838,D008834
3003839,D000014
3003841,D007154
3003843,D007154
3003849,D007475
3003885,D004097
3003886,D003276
3003887,D007741
3003896,D006749
3003900,D000001
3003916,D003358
3003917,D000066
3003920,D007475
3003925,D000099
3003930,D008706
3003932,D007042
3003935,D006871
3003945,D007145
3003949,D006811
3003952,D007424
3003968,D006039
3003973,D006826
3003978,D002639
3003982,D008831
3004004,D005661
3004005,D007744
3004010,D008832
3004024,D007042
3004025,D008832
3004030,D008774
3004032,D003361
3004037,D000066
3004040,D007053
3004045,D007440
3004047,D007042
3004048,D006885
3004050,D007042
3004058,D006816
3004059,D000066
3004061,D007750
3004070,D006801
3004079,D000066
3004081,D006768
3004084,D000066
3004086,D008832
3004096,D007555
3004097,D006952
3004104,D000004
3004105,D007481
3004106,D007150
3004113,D006860
3004119,D002850
3004123,D007539
3004128,D007631
3004132,D007424
3004134,D006749
3004136,D006747
3004139,D003272
3004141,D007631
3004161,D008714
3004176,D003716
3004178,D007154
3004189,D007424
3004194,D003162
3004196,D009150
3004197,D005653
3004200,D007548
3004201,D007042
3004207,D007738
3004209,D000049
3004227,D003264
3004228,D008081
3004230,D007424
3004240,D002207
3004243,D008834
3004244,D000047
3004245,D007744
3004250,D008832
3004251,D002722
3004258,D008841
3004259,D007741
3004260,D005762
3004265,D008835
3004266,D007424
3004279,D005502
3004281,D007741
3004282,D007657
3004284,D007042
3004285,D007152
3004290,D006749
3004294,D008608
3004296,D008835
3004297,D008706
3004300,D007145
3004302,D006754
3004303,D008835
3004308,D005000
3004312,D008832
3004314,D000047
3004315,D008242
3004327,D000014
3004338,D000051
3004340,D009493
3004342,D007744
3004343,D007744
3004344,D007449
3004354,D006859
3004357,D007744
3004362,D003272
3004370,D006779
3004372,D007164
3004381,D007145
3004400,D000163
3004407,D008812
3004413,D007042
3004423,D003302
3004425,D006852
3004429,D006826
3004431,D007042
3004433,D000004
3004434,D003268
3004437,D007436
3004443,D008835
3004444,D009086
3004451,D004747
3004458,D003869
3004462,D008832
3004467,D007042
3004473,D008806
3004477,D007154
3004483,D007154
3004485,D007154
3004491,D009257
3004492,D007042
3004499,D005628
3004500,D008671
3004503,D002169
3004516,D007742
3004522,D009257
3004524,D007042
3004532,D008844
3004544,D007933
3004549,D009257
3004550,D009257
3004554,D005575
3004556,D008656
3004558,D007932
3004560,D001683
3004561,D007042
3004562,D007042
3004567,D000001
3004568,D009257
3004569,D009150
3004570,D009257
3004574,D003787
3004576,D007154
3004579,D009150
3004580,D007042
3004584,D007154
3004588,D001219
3004599,D007042
3004601,D007745
3004606,D000171
3004609,D002825
3004611,D009257
3004619,D009257
3004621,D009257
3004622,D008835
3004636,D007041
3004639,D008775
3004641,D007424
3004647,D006838
3004655,D007061
3004657,D008774
3004660,D004693
3004662,D007744
3004664,D008681
3004666,D003367
3004676,D002648
3004677,D007730
3004680,D009257
3004681,D000181
3004683,D000509
3004684,D003166
3004688,D008064
3004692,D007154
3004693,D006768
3004700,D009257
3004711,D001692
3004716,D007145
3004730,D007042
3004731,D008846
3004732,D003276
3004734,D001692
3004738,D006859
3004740,D003268
3004742,D007468
3004744,D009257
3004746,D001692
3004747,D008174
3004752,D005516
3004769,D007150
3004772,D004875
3004773,D008683
3004774,D007985
3004775,D007440
3004779,D007042
3004799,D008860
3004802,D008835
3004809,D007412
3004811,D007042
3004814,D007042
3004817,D008834
3004818,D007931
3004821,D003366
3004823,D007931
3004826,D000014
3004837,D006862
3004838,D008495
3004842,D005935
3004846,D000177
3004864,D007730
3004866,D007737
3004867,D007145
3004874,D006830
3004877,D006849
3004882,D007415
3004883,D007539
3004887,D007150
3004890,D000001
3004895,D008835
3004901,D006862
3004904,D000049
3004908,D008773
3004910,D008835
3004914,D000049
3004918,D007145
3004920,D007174
3004927,D000049
3004931,D007730
3004936,D007415
3004939,D007131
3004947,D007131
3004951,D007429
3004956,D007154
3004957,D007737
3004961,D003660
3004972,D008856
3004974,D007548
3004975,D007042
3004980,D000014
3004981,D008079
3004986,D007042
3004992,D008791
3004993,D007042
3004998,D000185
3005001,D006816
3005005,D007042
3005011,D000014
3005015,D009428
3005017,D007042
3005023,D007042
3005024,D000691
3005032,D007443
3005037,D007932
3005050,D006859
3005052,D000411
3005056,D008791
3005064,D007042
3005069,D003160
3005072,D002729
3005074,D007042
3005079,D008840
3005080,D000014
3005083,D002729
3005093,D006259
3005094,D007145
3005097,D007744
3005098,D007741
3005101,D007042
3005104,D006763
3005111,D007042
3005119,D007042
3005123,D007042
3005125,D000014
3005136,D006303
3005138,D006601
3005139,D007154
3005140,D006859
3005145,D007042
3005147,D007042
3005160,D007145
3005162,D000014
3005165,D007174
3005172,D007154
3005173,D007445
3005174,D000001
3005194,D007042
3005205,D007145
3005207,D008833
3005209,D007154
3005210,D008835
3005211,D007737
3005214,D008020
3005219,D008834
3005221,D007145
3005227,D000014
3005229,D007737
3005234,D006749
3005236,D007042
3005247,D007154
3005249,D008841
3005252,D007042
3005255,D007167
3005259,D005791
3005260,D003023
3005261,D006885
3005266,D007726
3005268,D008832
3005270,D002626
3005274,D008709
3005276,D007167
3005277,D004751
3005283,D005791
3005288,D008832
3005291,D000001
3005297,D005791
3005298,D007548
3005302,D008652
3005305,D008832
3005306,D005791
3005307,D008834
3005312,D000049
3005313,D006787
3005320,D007744
3005321,D000001
3005323,D007154
3005329,D007737
3005332,D004481
3005344,D009150
3005346,D008842
3005351,D008832
3005353,D005791
3005362,D000001
3005365,D008794
3005367,D009264
3005380,D007481
3005383,D007154
3005388,D007042
3005397,D000014
3005404,D008079
3005415,D008835
3005418,D007162
3005427,D003790
3005430,D009505
3005432,D007154
3005438,D008831
3005443,D007042
3005448,D008079
3005450,D000014
3005457,D007154
3005462,D000001
3005464,D007042
3005474,D008831
3005481,D007042
3005483,D000014
3005487,D007742
3005488,D007154
3005494,D007042
3005495,D007154
3005506,D000014
3005507,D007443
3005510,D008835
3005511,D003358
3005514,D000014
3005515,D006880
3005518,D006086
3005520,D006086
3005523,D000158
3005530,D001337
3005532,D009274
3005533,D000047
3005535,D009274
3005539,D007041
3005540,D006859
3005542,D000158
3005557,D003171
3005562,D006086
3005566,D008835
3005570,D008772
3005576,D000014
3005581,D007154
3005583,D007145
3005589,D008670
3005591,D007145
3005596,D000177
3005598,D007042
3005602,D006787
3005603,D007042
3005604,D002720
3005612,D007042
3005614,D007042
3005620,D000187
3005622,D007145
3005625,D007738
3005634,D008835
3005636,D007145
3005640,D007042
3005645,D007145
3005646,D000047
3005647,D000177
3005648,D007142
3005650,D007145
3005655,D000187
3005657,D003361
3005660,D007041
3005661,D000177
3005662,D008832
3005669,D000049
3005671,D004243
3005672,D007546
3005676,D008810
3005681,D000001
3005684,D007041
3005686,D008076
3005688,D008811
3005694,D000047
3005704,D007555
3005705,D008798
3005706,D000047
3005708,D005628
3005709,D005592
3005721,D000052
3005728,D000055
3005731,D000047
3005733,D007741
3005745,D007147
3005752,D000001
3005753,D006747
3005755,D004463
3005756,D007042
3005757,D000014
3005761,D000047
3005765,D008835
3005770,D007150
3005772,D000001
3005780,D008076
3005786,D008835
3005790,D002830
3005791,D000047
3005793,D008835
3005798,D007042
3005806,D007741
3005809,D000066
3005811,D000066
3005814,D008832
3005815,D007042
3005818,D003790
3005821,D007042
3005830,D007042
3005838,D009529
3005848,D007154
3005851,D000014
3005852,D007042
3005858,D007042
3005863,D007154
3005866,D000014
3005867,D008835
3005872,D007042
3005874,D000001
3005880,D000049
3005887,D007481
3005897,D007061
3005901,D007061
3005904,D008780
3005909,D005919
3005912,D008793
3005924,D007042
3005927,D006747
3005930,D005000
3005931,D007145
3005937,D007042
3005941,D008796
3005950,D007140
3005952,D000177
3005956,D003882
3005957,D006842
3005967,D008835
3005969,D004360
3005971,D003899
3005974,D007172
3005977,D001695
3005978,D004574
3005985,D003294
3005987,D009160
3005988,D007932
3005996,D004360
3006005,D006781
3006010,D008543
3006011,D007145
3006013,D007154
3006014,D004360
3006015,D008831
3006019,D008835
3006031,D007150
3006033,D000049
3006040,D008219
3006046,D000052
3006052,D006849
3006057,D002979
3006059,D007042
3006062,D007042
3006065,D000047
3006069,D007154
3006071,D008832
3006080,D007054
3006089,D008709
3006091,D004574
3006103,D006086
3006104,D007061
3006110,D004574
3006115,D002985
3006117,D003162
3006123,D008709
3006128,D002417
3006130,D007620
3006142,D009100
3006143,D009470
3006146,D008812
3006148,D002985
3006150,D008793
3006156,D007042
3006158,D008832
3006161,D001741
3006175,D008834
3006177,D007443
3006183,D006762
3006184,D008772
3006187,D006351
3006194,D000014
3006196,D000014
3006200,D002317
3006201,D005661
3006210,D008211
3006212,D003279
3006214,D007042
3006216,D002317
3006218,D002317
3006221,D007042
3006222,D007042
3006232,D008832
3006235,D007537
3006244,D000014
3006248,D008710
3006256,D007042
3006257,D007042
3006258,D007042
3006259,D007424
3006260,D007042
3006270,D008706
3006271,D008832
3006275,D006816
3006277,D007042
3006290,D009439
3006293,D009276
3006295,D003166
3006301,D007154
3006306,D000001
3006308,D008834
3006310,D003277
3006316,D003920
3006323,D003276
3006325,D008838
3006327,D007424
3006331,D007042
3006332,D008832
3006341,D008832
3006347,D008832
3006351,D007042
3006354,D008832
3006357,D009067
3006360,D009067
3006362,D007744
3006368,D008833
3006369,D003272
3006376,D008834
3006381,D002552
3006384,D003357
3006388,D000014
3006393,D007744
3006397,D008834
3006406,D000001
3006407,D002720
3006409,D006747
3006412,D006871
3006416,D008710
3006418,D007042
3006422,D007042
3006428,D003268
3006430,D004550
3006432,D009067
3006435,D000014
3006438,D001143
3006440,D006747
3006445,D007154
3006451,D003268
3006457,D000014
3006461,D006747
3006465,D002627
3006467,D003302
3006469,D006747
3006473,D004312
3006475,D000014
3006476,D006816
3006481,D005296
3006482,D003302
3006488,D000049
3006489,D007042
3006493,D002954
3006495,D005762
3006498,D006747
3006508,D007145
3006514,D004243
3006517,D006818
3006520,D003154
3006522,D007042
3006523,D009179
3006526,D008745
3006528,D007154
3006540,D007150
3006541,D002723
3006545,D005763
3006547,D007424
3006552,D007042
3006555,D008838
3006560,D007741
3006561,D006749
3006562,D009150
3006567,D007042
3006568,D005628
3006569,D008079
3006571,D003366
3006576,D000014
3006577,D007420
3006579,D008834
3006589,D000014
3006592,D000014
3006593,D000049
3006594,D000014
3006597,D007042
3006598,D006747
3006600,D008809
3006602,D000051
3006606,D007042
3006612,D000014
3006613,D001623
3006614,D007042
3006617,D007042
3006618,D000014
3006619,D008832
3006620,D008709
3006627,D001623
3006644,D003299
3006646,D007042
3006647,D005952
3006650,D007042
3006651,D006086
3006658,D000047
3006659,D007744
3006663,D000047
3006667,D005605
3006668,D007424
3006669,D000014
3006671,D008832
3006673,D008844
3006675,D008832
3006677,D008762
3006678,D000014
3006680,D003354
3006681,D003354
3006684,D000066
3006691,D008807
3006693,D006747
3006694,D000846
3006695,D004820
3006698,D000049
3006707,D003882
3006709,D009492
3006713,D007548
3006716,D000014
3006726,D007726
3006727,D007042
3006734,D007164
3006735,D007742
3006737,D007726
3006738,D008076
3006743,D007726
3006746,D002842
3006747,D005209
3006763,D008564
3006766,D006747
3006776,D007145
3006777,D003351
3006778,D003351
3006784,D007737
3006790,D007154
3006792,D007737
3006793,D007737
3006798,D007737
3006800,D009067
3006808,D007145
3006811,D007145
3006813,D004574
3006824,D007154
3006828,D005400
3006830,D007145
3006833,D007145
3006834,D008834
3006837,D007145
3006839,D007154
3006841,D007548
3006844,D008810
3006846,D008810
3006849,D009490
3006850,D007548
3006853,D007548
3006859,D007548
3006861,D007145
3006865,D007145
3006880,D005824
3006881,D000066
3006886,D007154
3006888,D008832
3006889,D000014
3006893,D008774
3006904,D009513
3006906,D007741
3006907,D002838
3006910,D007145
3006919,D002727
3006922,D006838
3006928,D000001
3006937,D002731
3006942,D007424
3006943,D007742
3006947,D008835
3006948,D007154
3006949,D009063
3006955,D006838
3006956,D006838
3006964,D008645
3006974,D007150
3006979,D007042
3006991,D001700
3006992,D007154
3007006,D000049
3007010,D005952
3007011,D007555
3007014,D006779
3007016,D006816
3007018,D007042
3007026,D009185
3007027,D007744
3007030,D007408
3007035,D006842
3007050,D003268
3007057,D008239
3007060,D007145
3007063,D000007
3007074,D001032
3007076,D007737
3007086,D007042
3007094,D002841
3007095,D007150
3007099,D007999
3007109,D007150
3007113,D007145
3007114,D003367
3007120,D003365
3007124,D007424
3007125,D006838
3007137,D007042
3007138,D007145
3007145,D000177
3007147,D007145
3007154,D007042
3007157,D000014
3007179,D007134
3007180,D006838
3007193,D007114
3007195,D003282
3007202,D007744
3007203,D007042
3007207,D008707
3007209,D009063
3007214,D008707
3007220,D007744
3007235,D008709
3007241,D006859
3007243,D006859
3007245,D007154
3007246,D008707
3007248,D007042
3007249,D006859
3007251,D006852
3007253,D007738
3007259,D008709
3007261,D003013
3007263,D000001
3007265,D000165
3007266,D008196
3007268,D006779
3007269,D007744
3007270,D006816
3007271,D003373
3007278,D007042
3007280,D007439
3007284,D007154
3007285,D005348
3007293,D002954
3007295,D003272
3007297,D007042
3007298,D007742
3007301,D007154
3007306,D006748
3007307,D002951
3007309,D007708
3007313,D007145
3007315,D000001
3007326,D007154
3007332,D000001
3007335,D000001
3007340,D007042
3007343,D006724
3007345,D007137
3007349,D008841
3007350,D006826
3007355,D007475
3007357,D006779
3007358,D006826
3007363,D006816
3007383,D008774
3007384,D007131
3007391,D006747
3007392,D008841
3007393,D007114
3007396,D006838
3007404,D008084
3007405,D007042
3007406,D009339
3007410,D008832
3007420,D007145
3007421,D003166
3007427,D007440
3007428,D003268
3007431,D007154
3007440,D009339
3007442,D000012
3007462,D008832
3007480,D008844
3007481,D007042
3007491,D009339
3007495,D009411
3007498,D008832
3007500,D007744
3007504,D008858
3007506,D009439
3007509,D007742
3007537,D000014
3007545,D002720
3007551,D007155
3007554,D008076
3007556,D006779
3007565,D007154
3007566,D000001
3007567,D008840
3007568,D008707
3007569,D007042
3007572,D008858
3007588,D007551
3007589,D003294
3007598,D008858
3007607,D007744
3007618,D006859
3007625,D008835
3007632,D007412
3007637,D000001
3007641,D003366
3007643,D007737
3007653,D007042
3007655,D007042
3007659,D007042
3007668,D002643
3007670,D007042
3007693,D000051
3007696,D008085
3007701,D002645
3007702,D006747
3007703,D003161
3007709,D002838
3007713,D007154
3007715,D002645
3007716,D000171
3007717,D000001
3007718,D009526
3007724,D007399
3007730,D007135
3007731,D009333
3007742,D003373
3007746,D000066
3007751,D009463
3007752,D003365
3007754,D005678
3007774,D006849
3007781,D007154
3007782,D007154
3007783,D009339
3007791,D007436
3007806,D006768
3007810,D007744
3007818,D006885
3007820,D002953
3007827,D007145
3007830,D001256
3007837,D006838
3007838,D007145
3007845,D008832
3007846,D007475
3007849,D007439
3007854,D007154
